"title","total_prop_men","total_prop_women","index","year","imdb","test","clean_test","binary","budget.x","domgross","intgross","code","budget2013","domgross2013","intgross2013","period code","decade","cast_id","gender","id","name","order","movie_id","genres","budget.y","revenue","vote_count","vote_average","popularity","runtime","release_date","genre_order"
"Adventureland",0.7327576662,0.2672423337,446,2009,"tt1091722","men-disagree","men","FAIL",9800000,16044025,17144025,"2009FAIL",10640170,17419505,18613810,2,2,1,"Male",44735,"Jesse Eisenberg",0,16614,"Comedy",9500000,17164377,748,6.4,6.77887,107,2009-04-03,1
"Air Force One",0.7582239507,0.2417760492,1398,1997,"tt0118571","notalk","notalk","FAIL",8.5e+07,172956409,315268353,"1997FAIL",123355241,251000935,457529453,4,3,1,"Male",3,"Harrison Ford",0,9772,"Action",8.5e+07,315156409,859,6.2,12.173291,124,1997-07-25,1
"Airplane!",0.7264770241,0.273522976,1726,1980,"tt0080339","dubious","dubious","FAIL",3500000,83453539,83453539,"1980FAIL",9897188,235987236,235987236,NA,NA,5,"Male",14416,"Robert Hays",0,813,"Comedy",3500000,83453539,1104,7.1,13.063203,88,1980-07-02,1
"Aladdin",0.8955324606,0.1044675395,1569,1992,"tt0103639","nowomen","nowomen","FAIL",2.8e+07,217350219,504050219,"1992FAIL",46489723,360876835,836898388,5,3,18,"Male",15827,"Scott Weinger",0,812,"Adventure",2.8e+07,504050219,3495,7.4,16.357419,90,1992-11-25,1
"Alice in Wonderland",0.3488329011,0.6511670988,310,2010,"tt1014759","ok","ok","PASS",2e+08,334191110,1024391110,"2010PASS",213646368,356993585,1094287202,1,1,21,"Female",67228,"Kathryn Beaumont",0,12092,"Adventure",3e+06,5.72e+08,1557,7,16.488937,75,1951-07-03,1
"Alien",0.6671371443,0.3328628558,1740,1979,"tt0078748","ok","ok","PASS",9e+06,80930630,203630630,"1979PASS",28886103,259752278,653566146,NA,NA,3,"Male",4139,"Tom Skerritt",0,348,"Action",1.1e+07,104931801,4564,7.9,23.37742,117,1979-05-25,1
"Alien: Resurrection",0.657403189,0.342596811,1399,1997,"tt0118583","ok","ok","PASS",6e+07,47795018,160700000,"1997PASS",87074287,69361952,233213967,4,3,1,"Female",10205,"Sigourney Weaver",0,8078,"Action",7e+07,1.62e+08,1388,5.9,15.57784,109,1997-11-12,1
"Aliens",0.5262618873,0.4737381126,1662,1986,"tt0090605","ok-disagree","ok","PASS",1.7e+07,85160248,183316455,"1986PASS",36104000,180860331,389321020,NA,NA,21,"Female",10205,"Sigourney Weaver",0,679,"Action",18500000,183316455,3282,7.7,21.761179,137,1986-07-18,1
"All About Steve",0.4439369573,0.5560630427,449,2009,"tt0881891","ok","ok","PASS",1.5e+07,33862903,40127259,"2009PASS",16285974,36766024,43567433,2,2,3,"Female",18277,"Sandra Bullock",0,23706,"Comedy",1.5e+07,40105542,302,4.7,9.288013,99,2009-09-04,1
"Almost Famous",0.7089892473,0.2910107527,1216,2000,"tt0181875","ok","ok","PASS",6e+07,32522352,47371191,"2000PASS",81174503,43999763,64088881,3,2,14,"Female",11661,"Kate Hudson",0,786,"Drama",6e+07,47383689,807,7.4,9.086699,122,2000-09-15,1
"Amadeus",0.8155924481,0.1844075522,1683,1984,"tt0086879","ok-disagree","ok","PASS",1.8e+07,51973029,51973029,"1984PASS",40345992,116494634,116494634,NA,NA,4,"Male",1164,"F. Murray Abraham",0,279,"Drama",1.8e+07,51973029,1107,7.8,12.677592,160,1984-10-26,1
"American Beauty",0.5908873476,0.4091126525,1280,1999,"tt0169547","ok","ok","PASS",1.5e+07,130058047,356258047,"1999PASS",20976930,181881240,498213351,4,3,6,"Male",1979,"Kevin Spacey",0,14,"Drama",1.5e+07,356296601,3438,7.9,20.726578,122,1999-09-15,1
"American Graffiti",0.7347579503,0.26524205,1780,1973,"tt0069704","men","men","FAIL",777000,1.15e+08,1.4e+08,"1973FAIL",4074506,603047833,734145189,NA,NA,16,"Male",3037,"Richard Dreyfuss",0,838,"Comedy",777000,1.4e+08,330,6.9,9.188584,110,1973-08-01,1
"American History X",0.8308212058,0.1691787942,1336,1998,"tt0120586","men-disagree","men","FAIL",1e+07,6719864,6719864,"1998FAIL",14291323,9603575,9603575,4,3,4,"Male",819,"Edward Norton",0,73,"Drama",2e+07,23875127,3120,8.2,18.157166,119,1998-10-30,1
"American Hustle",0.7490887552,0.2509112448,10,2013,"tt1800241","ok-disagree","ok","PASS",4e+07,148430908,249484909,"2013PASS",4e+07,148430908,249484909,1,1,3,"Male",3894,"Christian Bale",0,168672,"Crime",4e+07,251171807,2868,6.8,16.478036,138,2013-12-12,1
"American Outlaws",0.9197286104,0.0802713895,1154,2001,"tt0244000","notalk","notalk","FAIL",3.5e+07,13264986,13264986,"2001FAIL",46054609,17454678,17454678,3,2,4,"Male",72466,"Colin Farrell",0,13496,"Action",3.5e+07,13678913,56,5.7,10.855383,94,2001-08-17,1
"American Pie",0.7225022913,0.2774977085,1281,1999,"tt0163651","men","men","FAIL",1.2e+07,101800948,234723148,"1999FAIL",16781544,142364760,328251410,4,3,16,"Male",21593,"Jason Biggs",0,2105,"Comedy",1.1e+07,235483004,2358,6.4,18.344227,95,1999-07-09,1
"American Psycho",0.8129730989,0.1870269012,1217,2000,"tt0144084","notalk-disagree","notalk","FAIL",8e+06,15070285,28674417,"2000FAIL",10823267,20388715,38793859,3,2,3,"Male",3894,"Christian Bale",0,1359,"Crime",7e+06,34266564,2128,7.3,13.686715,102,2000-04-13,1
"Amour",0.6458236838,0.3541763162,102,2012,"tt1602620","dubious-disagree","dubious","FAIL",9700000,6738954,25915719,"2012FAIL",9841994,6837603,26295088,1,1,6,"Female",267962,"Emmanuelle Riva",0,86837,"Drama",8900000,29844753,413,7.5,7.663947,127,2012-07-01,1
"An Education",0.3051110465,0.6948889536,450,2009,"tt1174732","ok","ok","PASS",7500000,12574914,29652736,"2009PASS",8142987,13652981,32194912,2,2,3,"Female",36662,"Carey Mulligan",0,24684,"Drama",7500000,26096852,423,6.9,8.593196,100,2009-10-29,1
"Analyze This",0.9205270457,0.0794729542,1282,1999,"tt0122933","notalk","notalk","FAIL",3e+07,106885658,176885658,"1999FAIL",41953861,149475534,247367876,4,3,1,"Male",380,"Robert De Niro",0,9535,"Comedy",8e+07,176885658,512,6.4,7.634017,103,1999-03-05,1
"Anastasia",0.5829935935,0.4170064065,1400,1997,"tt0118617","ok","ok","PASS",5.3e+07,58403409,139801410,"1997PASS",76915621,84757254,202885136,4,3,2,"Female",5344,"Meg Ryan",0,9444,"Animation",5.3e+07,139804348,1481,7.4,11.911173,94,1997-11-20,1
"Anchorman: The Legend of Ron Burgundy",0.7809334658,0.2190665342,932,2004,"tt0357413","men-disagree","men","FAIL",2.5e+07,84136909,89366354,"2004FAIL",30829822,103757037,110205951,3,2,2,"Male",23659,"Will Ferrell",0,8699,"Comedy",2.6e+07,90574188,1523,6.7,10.33012,94,2004-07-09,1
"Animal Kingdom",0.7642528735,0.2357471264,311,2010,"tt1313092","notalk","notalk","FAIL",4200000,1044039,8078683,"2010FAIL",4486574,1115276,8629906,1,1,3,"Male",968863,"James Frecheville",0,44629,"Crime",5e+06,1e+06,240,6.7,9.649312,113,2010-06-03,1
"Anna Karenina",0.5605507934,0.4394492066,103,2012,"tt1781769","men-disagree","men","FAIL",4.9e+07,12816367,70735540,"2012FAIL",49717290,13003980,71771007,1,1,1,"Female",1957,"Sophie Marceau",0,50512,"Drama",3.5e+07,791830,26,6.4,5.660835,108,1997-04-04,1
"Annie Hall",0.684683313,0.3153166869,1754,1977,"tt0075686","ok","ok","PASS",4e+06,38251425,38251425,"1977PASS",15372585,147005823,147005823,NA,NA,21,"Male",1243,"Woody Allen",0,703,"Comedy",4e+06,38251425,1044,7.8,18.146043,93,1977-04-19,1
"Another Year",0.4083601286,0.5916398714,312,2010,"tt1431181","ok","ok","PASS",8e+06,3205706,18505706,"2010PASS",8545855,3424437,19768384,1,1,10,"Male",388,"Jim Broadbent",0,44009,"Comedy",8e+06,18124262,97,7,5.000657,129,2010-11-05,1
"Antitrust",0.8095484139,0.1904515863,1155,2001,"tt0218817","men","men","FAIL",3e+07,10965209,17865209,"2001FAIL",39475379,14428526,23507863,3,2,18,"Male",11864,"Ryan Phillippe",0,9989,"Action",3e+07,18195610,156,5.8,8.142166,108,2001-01-12,1
"Apocalypse Now",0.972902854,0.0270971462,1741,1979,"tt0078788","nowomen-disagree","nowomen","FAIL",31500000,78800000,78800000,"1979FAIL",101101360,252913878,252913878,NA,NA,29,"Male",8349,"Martin Sheen",0,28,"Drama",31500000,89460381,2112,8,13.5963,153,1979-08-15,1
"Apollo 18",1,0,191,2011,"tt1772240","nowomen","nowomen","FAIL",5e+06,17686929,26517819,"2011FAIL",5178454,18318189,27464261,1,1,14,"Male",77164,"Ryan Robbins",0,50357,"Fiction",5e+06,25562924,359,5,10.711742,86,2011-07-20,1
"Argo",0.9627590675,0.0372409327,104,2012,"tt1024648","ok-disagree","ok","PASS",44500000,136025503,221300694,"2012PASS",45151416,138016721,224540219,1,1,3,"Male",880,"Ben Affleck",0,68734,"Drama",44500000,232324128,3473,7.1,14.238234,120,2012-10-11,1
"Armageddon",0.9508558091,0.0491441908,1337,1998,"tt0120591","notalk","notalk","FAIL",1.4e+08,201578182,554600000,"1998FAIL",200078524,288081893,792596781,4,3,7,"Male",62,"Bruce Willis",0,95,"Action",1.4e+08,553799566,2540,6.5,13.235112,151,1998-07-01,1
"Armored",1,0,452,2009,"tt0913354","nowomen","nowomen","FAIL",2e+07,15988876,23661038,"2009FAIL",21714632,17359628,25689537,2,2,2,"Male",31132,"Columbus Short",0,4597,"Action",2e+07,22942221,211,5.5,9.951662,88,2009-12-04,1
"Army of Darkness",0.9314641745,0.0685358255,1571,1992,"tt0106308","men-disagree","men","FAIL",1.1e+07,11502976,21502976,"1992FAIL",18263820,19098934,35702407,5,3,18,"Male",11357,"Bruce Campbell",0,766,"Comedy",1.1e+07,0,852,7.3,10.704612,81,1992-10-09,1
"Arthur Christmas",0.9338624339,0.0661375661,192,2011,"tt1430607","notalk","notalk","FAIL",8.5e+07,46462469,147624649,"2011FAIL",88033717,48120751,152893489,1,1,2,"Male",5530,"James McAvoy",0,51052,"Animation",0,0,340,6.7,8.453796,97,2011-02-22,1
"As Good as It Gets",0.652191792,0.3478082078,1401,1997,"tt0119822","ok","ok","PASS",5e+07,148478011,314111923,"1997PASS",72561906,215476950,455851198,4,3,1,"Male",514,"Jack Nicholson",0,2898,"Comedy",5e+07,314178011,946,7.2,9.374049,139,1997-12-19,1
"Assassins",0.7401827027,0.2598172974,1490,1995,"tt0112401","notalk","notalk","FAIL",5e+07,30306268,83306268,"1995FAIL",76438973,46331600,127356911,4,3,1,"Male",16483,"Sylvester Stallone",0,9691,"Action",5e+07,30303072,394,6,11.065939,132,1995-10-06,1
"Atonement",0.4477855858,0.5522144141,670,2007,"tt0783233","ok","ok","PASS",3e+07,50980159,130200290,"2007PASS",33706305,57278425,146285687,2,2,11,"Female",116,"Keira Knightley",0,4347,"Drama",3e+07,129266061,1075,7.4,8.913338,123,2007-08-29,1
"August: Osage County",0.2252582473,0.7747417527,11,2013,"tt1322269","ok","ok","PASS",2.5e+07,37304874,50304874,"2013PASS",2.5e+07,37304874,50304874,1,1,11,"Female",5064,"Meryl Streep",0,152737,"Comedy",2.5e+07,74188937,497,6.9,6.954296,121,2013-12-26,1
"Austin Powers: International Man of Mystery",0.6879665028,0.3120334971,1402,1997,"tt0118655","men","men","FAIL",1.8e+07,53883989,67683989,"1997FAIL",26122286,78198499,98225585,4,3,30,"Male",12073,"Mike Myers",0,816,"Comedy",16500000,67683989,1033,6.5,11.749159,94,1997-05-02,1
"Austin Powers: The Spy Who Shagged Me",0.7880018043,0.2119981958,1285,1999,"tt0145660","notalk-disagree","notalk","FAIL",3.5e+07,206040085,310332636,"1999FAIL",48946171,288139235,433988407,4,3,25,"Male",12073,"Mike Myers",0,817,"Adventure",3.3e+07,310940086,1034,6.1,13.984182,95,1999-06-08,1
"Avatar",0.6579853143,0.3420146857,454,2009,"tt0499549","men-disagree","men","FAIL",4.25e+08,760507625,2783918982,"2009FAIL",461435929,825707158,3022588801,2,2,242,"Male",65731,"Sam Worthington",0,19995,"Action",2.37e+08,2787965087,12114,7.2,185.070892,162,2009-12-10,1
"Away We Go",0.5513149737,0.448685026,455,2009,"tt1176740","ok","ok","PASS",2.1e+07,9451946,10108016,"2009PASS",22800364,10262276,10974592,2,2,1,"Male",17697,"John Krasinski",0,19255,"Comedy",1.7e+07,14899417,189,6.7,6.590093,98,2009-06-05,1
"Back to the Future",0.8815092389,0.1184907611,1672,1985,"tt0088763","notalk-disagree","notalk","FAIL",1.9e+07,210609762,383874862,"1985FAIL",41136059,455981879,831110482,NA,NA,14,"Male",521,"Michael J. Fox",0,105,"Adventure",1.9e+07,381109762,6239,8,25.778509,116,1985-07-03,1
"Back to the Future Part II",0.8941243583,0.1058756418,1615,1989,"tt0096874","ok","ok","PASS",4e+07,118450002,3.32e+08,"1989PASS",75183554,222637302,624023495,NA,NA,25,"Male",521,"Michael J. Fox",0,165,"Adventure",4e+07,3.32e+08,3926,7.4,13.689855,108,1989-11-20,1
"Back to the Future Part III",0.8814376508,0.1185623494,1600,1990,"tt0099088","notalk","notalk","FAIL",4e+07,87666629,243700000,"1990FAIL",71319016,156307443,434511105,5,3,14,"Male",521,"Michael J. Fox",0,196,"Adventure",4e+07,244527583,2978,7.1,13.043999,118,1990-05-25,1
"Bad Teacher",0.2939558639,0.706044136,194,2011,"tt1284575","ok-disagree","ok","PASS",1.9e+07,100292856,216412265,"2011PASS",19678125,103872387,224136189,1,1,3,"Female",6941,"Cameron Diaz",0,52449,"Comedy",2e+07,216197492,1634,5.4,7.310686,92,2011-05-16,1
"Barry Lyndon",0.8987520031,0.1012479969,1768,1975,"tt0072684","notalk","notalk","FAIL",1.1e+07,2e+07,2e+07,"1975FAIL",47609104,86562007,86562007,NA,NA,9,"Male",31070,"Ryan ONeal",0,3175,"Drama",1.1e+07,2e+07,521,7.7,14.003467,184,1975-12-18,1
"Batman",0.6971474274,0.3028525726,1616,1989,"tt0096895","notalk","notalk","FAIL",3.5e+07,251188924,411348924,"1989FAIL",65785609,472131898,773166847,NA,NA,5,"Male",514,"Jack Nicholson",0,268,"Action",3.5e+07,411348924,2145,7,19.10673,126,1989-06-23,1
"Batman Begins",0.8814147908,0.118585209,828,2005,"tt0372784","notalk","notalk","FAIL",1.5e+08,205343774,373298774,"2005FAIL",178954969,244981925,445357804,2,2,13,"Male",3894,"Christian Bale",0,272,"Action",1.5e+08,374218673,7511,7.5,28.505341,140,2005-06-10,1
"Batman Forever",0.8270476822,0.1729523176,1491,1995,"tt0112462","notalk","notalk","FAIL",1e+08,184031112,336529144,"1995FAIL",152877946,281342983,514478842,4,3,6,"Male",5576,"Val Kilmer",0,414,"Action",1e+08,336529144,1529,5.2,13.321354,121,1995-06-16,1
"Batman Returns",0.8408786498,0.1591213501,1572,1992,"tt0103776","nowomen-disagree","nowomen","FAIL",8e+07,162833635,266824291,"1992FAIL",132827779,270360376,443020974,5,3,22,"Male",2232,"Michael Keaton",0,364,"Action",8e+07,2.8e+08,1706,6.6,15.001681,126,1992-06-19,1
"Beasts of the Southern Wild",0.4232200446,0.5767799553,106,2012,"tt2125435","dubious-disagree","dubious","FAIL",1800000,12795746,21080058,"2012FAIL",1826349,12983057,21388640,1,1,7,"Female",1055235,"Quvenzhané Wallis",0,84175,"Drama",1800000,21107746,411,6.8,5.550496,93,2012-06-29,1
"Beauty and the Beast",0.7176887489,0.2823112511,1587,1991,"tt0101414","ok-disagree","ok","PASS",2e+07,218951625,451421625,"1991PASS",34216807,374591278,772310338,5,3,10,"Female",62050,"Paige OHara",0,10020,"Animation",2.5e+07,377350553,3029,7.5,23.433511,84,1991-11-13,1
"Before Sunrise",0.4785539216,0.5214460784,1492,1995,"tt0112471","nowomen","nowomen","FAIL",2500000,5274005,5274005,"1995FAIL",3821949,8062791,8062791,4,3,4,"Male",569,"Ethan Hawke",0,76,"Drama",2500000,5535405,984,7.7,11.304979,105,1995-01-27,1
"Before Sunset",0.442535742,0.557464258,936,2004,"tt0381681","nowomen","nowomen","FAIL",2e+06,5792822,11293790,"2004FAIL",2466386,7143667,13927421,3,2,8,"Male",569,"Ethan Hawke",0,80,"Drama",2700000,15992615,734,7.6,7.048957,80,2004-02-10,1
"Beginners",0.7798116695,0.2201883305,314,2010,"tt1532503","notalk","notalk","FAIL",3200000,5790894,11564267,"2010FAIL",3418342,6186017,12353318,1,1,3,"Male",3061,"Ewan McGregor",0,55347,"Comedy",3200000,5332926,353,6.8,6.72639,105,2010-09-11,1
"Being John Malkovich",0.6174209245,0.3825790755,1286,1999,"tt0120601","ok","ok","PASS",1.3e+07,22858926,32382381,"1999PASS",18180006,31967340,45285530,4,3,5,"Male",3036,"John Cusack",0,492,"Comedy",1.3e+07,22863596,1124,7.3,11.416319,112,1999-09-30,1
"Beloved",0.3072898253,0.6927101746,1338,1998,"tt0120603","ok","ok","PASS",5.3e+07,22852487,22852487,"1998PASS",75744013,32659228,32659228,4,3,1,"Female",13309,"Oprah Winfrey",0,39437,"Drama",0,0,26,5.9,1.557283,172,1998-10-16,1
"Beowulf",0.7751451436,0.2248548564,672,2007,"tt0442933","ok","ok","PASS",1.5e+08,82195215,194995215,"2007PASS",168531522,92349898,219085603,2,2,13,"Male",38559,"Christopher Lambert",0,5470,"Action",2e+07,1531251,52,4.4,7.745765,95,1999-04-01,1
"Big Fish",0.7618891079,0.2381108921,1009,2003,"tt0319061","notalk-disagree","notalk","FAIL",7e+07,66432867,123432867,"2003FAIL",88626087,84109786,156276743,3,2,5,"Male",3061,"Ewan McGregor",0,587,"Adventure",7e+07,122919055,2064,7.6,14.739983,125,2003-12-25,1
"Black Christmas",0.1225332721,0.8774667277,741,2006,"tt0454082","ok","ok","PASS",9e+06,16235738,16235738,"2006PASS",10402167,18765207,18765207,2,2,3,"Female",24695,"Olivia Hussey",0,16938,"Horror",0,0,133,6.8,5.310614,98,1974-10-11,1
"Black Hawk Down",0.9999999998,0,1158,2001,"tt0265086","nowomen-disagree","nowomen","FAIL",9.5e+07,108638745,159691085,"2001FAIL",125005366,142951853,210128869,3,2,20,"Male",2299,"Josh Hartnett",0,855,"Action",9.2e+07,172989651,1832,7.2,10.064446,144,2001-12-28,1
"Black Swan",0.4434069688,0.5565930312,316,2010,"tt0947798","ok-disagree","ok","PASS",1.3e+07,106954678,331266710,"2010PASS",13887014,114252393,353869648,1,1,21,"Female",524,"Natalie Portman",0,44214,"Drama",1.3e+07,327803731,4562,7.3,12.989056,108,2010-12-02,1
"Blade",0.7520268382,0.2479731619,1339,1998,"tt0120611","notalk","notalk","FAIL",4.5e+07,70141876,131237688,"1998FAIL",64310954,100242021,187556021,4,3,3,"Male",10814,"Wesley Snipes",0,36647,"Action",4.5e+07,131183530,1950,6.5,15.043454,120,1998-08-21,1
"Blade II",0.8217000691,0.1782999309,1081,2002,"tt0187738","notalk","notalk","FAIL",5.4e+07,81676888,154338601,"2002FAIL",69939678,105786208,199896148,3,2,1,"Male",10814,"Wesley Snipes",0,36586,"Action",5.4e+07,155010032,1556,6.3,17.05064,117,2002-03-22,1
"Blade Runner",0.8515077892,0.148492211,1703,1982,"tt0083658","notalk","notalk","FAIL",2.8e+07,32656328,33139618,"1982FAIL",67571504,78808471,79974780,NA,NA,6,"Male",3,"Harrison Ford",0,78,"Drama",2.8e+07,33139618,3833,7.9,96.272374,117,1982-06-25,1
